Loading parameters
Using platform: HIP

Initial system energy
-2870473.1604888216 kJ/mol

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
100.8%	126000	126.00000000023758	-2869294.4729888216	310.23346059301457	0	--
101.6%	127000	127.00000000024235	-2871324.3479888216	309.7397165929628	1.95	23:58:32
102.4%	128000	128.00000000024713	-2871767.6604888216	309.754432496061	1.92	23:57:45
103.2%	129000	129.0000000002519	-2874880.5979888216	309.14736038372	1.85	23:56:54
104.0%	130000	130.00000000025668	-2872195.0979888216	308.7516687704254	1.78	23:55:58
104.8%	131000	131.00000000026145	-2871839.8479888216	310.2204141217407	1.74	23:55:03
105.6%	132000	132.00000000026623	-2873235.7854888216	311.211577142758	1.71	23:54:07
106.4%	133000	133.000000000271	-2870245.4104888216	309.4186950642908	1.68	23:53:09
107.2%	134000	134.00000000027578	-2874303.0354888216	309.84076857440334	1.66	23:52:11
108.0%	135000	135.00000000028055	-2870400.1604888216	308.6880158394363	1.63	23:51:11
108.8%	136000	136.00000000028533	-2873819.7854888216	309.07064375334267	1.61	23:50:11
109.6%	137000	137.0000000002901	-2875485.1604888216	310.0508079287496	1.59	23:49:10
110.4%	138000	138.00000000029488	-2875167.8479888216	310.28107972852115	1.58	23:48:08
111.2%	139000	139.00000000029965	-2874039.5354888216	310.4335540313824	1.56	23:47:05
112.0%	140000	140.00000000030442	-2873244.5354888216	309.89470937173166	1.54	23:46:00
112.8%	141000	141.0000000003092	-2874668.5979888216	310.72637394356997	1.52	23:44:53
113.6%	142000	142.00000000031397	-2873878.7229888216	309.50842636870254	1.51	23:43:47
114.4%	143000	143.00000000031875	-2871363.5354888216	309.44572353341624	1.5	23:42:46
115.2%	144000	144.00000000032352	-2872341.3479888216	310.3958037501007	1.5	23:41:43
116.0%	145000	145.0000000003283	-2870214.3479888216	309.5483136362441	1.49	23:40:37
116.8%	146000	146.00000000033307	-2875063.8479888216	310.84498507023494	1.48	23:39:32
117.6%	147000	147.00000000033785	-2872558.9104888216	310.53621660363984	1.47	23:38:25
118.4%	148000	148.00000000034262	-2870983.0979888216	309.0485275583464	1.46	23:37:18
119.2%	149000	149.0000000003474	-2874606.8479888216	310.3318988352679	1.45	23:36:10
120.0%	150000	150.00000000035217	-2873144.0354888216	310.3682028070163	1.44	23:35:02
120.8%	151000	151.00000000035695	-2868853.1604888216	309.27679895698816	1.43	23:33:53
121.6%	152000	152.00000000036172	-2868324.9104888216	310.1766652544927	1.42	23:32:41
122.4%	153000	153.0000000003665	-2868594.1604888216	310.2364120798351	1.42	23:31:31
123.2%	154000	154.00000000037127	-2871396.0979888216	311.03558058808744	1.41	23:30:20
124.0%	155000	155.00000000037605	-2871643.1604888216	309.79388761347883	1.4	23:29:04
124.8%	156000	156.00000000038082	-2873518.3479888216	309.36845775372205	1.39	23:27:56
125.6%	157000	157.0000000003856	-2872209.9104888216	309.8129879155488	1.39	23:26:45
126.4%	158000	158.00000000039037	-2875091.5354888216	310.43949809640816	1.38	23:25:33
127.2%	159000	159.00000000039515	-2872216.6604888216	309.76646572178726	1.37	23:24:20
128.0%	160000	160.00000000039992	-2872146.7854888216	309.8284384355145	1.37	23:23:06
128.8%	161000	161.0000000004047	-2873729.9104888216	309.8637544657952	1.36	23:21:49
129.6%	162000	162.00000000040947	-2872774.9729888216	310.48592220996176	1.35	23:20:35
130.4%	163000	163.00000000041425	-2872695.9729888216	309.5032010698997	1.34	23:19:19
131.2%	164000	164.00000000041902	-2873953.0979888216	308.9988211290177	1.34	23:18:04
132.0%	165000	165.0000000004238	-2873968.7229888216	309.78126134415686	1.33	23:16:51
132.8%	166000	166.00000000042857	-2874079.2229888216	309.46173260770604	1.33	23:15:37
133.6%	167000	167.00000000043335	-2872475.2229888216	309.7842227269133	1.33	23:14:23
134.4%	168000	168.00000000043812	-2872617.6604888216	310.1781950500138	1.32	23:13:09
135.2%	169000	169.0000000004429	-2874277.6604888216	310.6589449275473	1.32	23:11:56
136.0%	170000	170.00000000044767	-2871663.9104888216	309.29083762272035	1.31	23:10:41
136.8%	171000	171.00000000045245	-2873443.4104888216	310.7722072785475	1.31	23:09:27
137.6%	172000	172.00000000045722	-2872156.0979888216	309.6344738019295	1.31	23:08:12
138.4%	173000	173.000000000462	-2871909.2229888216	309.96406328031213	1.3	23:06:57
139.2%	174000	174.00000000046677	-2871258.0979888216	310.0602004000541	1.3	23:05:42
140.0%	175000	175.00000000047154	-2873775.5354888216	310.8918367274827	1.3	23:04:28
140.8%	176000	176.00000000047632	-2869717.7854888216	309.0743208439981	1.29	23:03:13
