Loading parameters
Using platform: HIP

Initial system energy
-2877859.0354888216 kJ/mol

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
200.8%	251000	251.00000000083443	-2879208.4729888216	309.4971977106066	0	--
201.6%	252000	252.0000000008392	-2881626.9729888216	309.6206343638314	1.7	22:12:18
202.4%	253000	253.00000000084398	-2880891.0354888216	309.64568932353325	1.46	21:53:36
203.2%	254000	254.00000000084876	-2878740.9104888216	310.37332463405266	1.38	21:45:33
204.0%	255000	255.00000000085353	-2876792.7854888216	310.79830311153177	1.35	21:41:43
204.8%	256000	256.0000000008583	-2875671.3479888216	309.96578817865304	1.33	21:38:14
205.6%	257000	257.00000000083463	-2881379.4729888216	309.7930336357581	1.34	21:37:47
206.4%	258000	258.000000000811	-2883658.7229888216	309.4901624255304	1.33	21:35:59
207.2%	259000	259.00000000078734	-2884577.2854888216	309.66984515224704	1.32	21:33:54
208.0%	260000	260.0000000007637	-2883982.2854888216	310.2687597061589	1.31	21:31:36
208.8%	261000	261.00000000074004	-2881151.6604888216	309.67540068440326	1.27	21:26:12
209.6%	262000	262.0000000007164	-2880500.5354888216	310.20799545238805	1.22	21:18:47
210.4%	263000	263.00000000069275	-2880938.5354888216	309.13775757520176	1.19	21:13:00
211.2%	264000	264.0000000006691	-2886332.2229888216	310.8000721170438	1.18	21:10:06
212.0%	265000	265.00000000064546	-2885988.4729888216	310.38956203388034	1.16	21:06:18
212.8%	266000	266.0000000006218	-2887678.8479888216	310.1476575626445	1.15	21:02:56
213.6%	267000	267.00000000059816	-2890216.8479888216	309.8319442102788	1.13	20:59:32
214.4%	268000	268.0000000005745	-2888780.7854888216	309.3467185453682	1.12	20:56:32
215.2%	269000	269.00000000055087	-2890829.5979888216	309.7976329638417	1.09	20:50:37
216.0%	270000	270.0000000005272	-2892101.9104888216	310.2765621756926	1.08	20:46:00
216.8%	271000	271.0000000005036	-2891628.2854888216	309.38488780811144	1.07	20:43:12
217.6%	272000	272.00000000047993	-2892628.0979888216	310.0570869435252	1.06	20:40:04
218.4%	273000	273.0000000004563	-2894515.8479888216	311.4369478536569	1.06	20:38:33
219.2%	274000	274.00000000043264	-2894532.8479888216	310.2386334601199	1.06	20:37:44
220.0%	275000	275.000000000409	-2893203.2229888216	311.41266958887786	1.06	20:36:43
220.8%	276000	276.00000000038534	-2892712.3479888216	310.90672922566193	1.06	20:34:18
221.6%	277000	277.0000000003617	-2895406.5979888216	310.8868054921271	1.05	20:31:38
222.4%	278000	278.00000000033805	-2893544.2854888216	311.166285886239	1.04	20:28:36
223.2%	279000	279.0000000003144	-2896626.4104888216	309.71177073957057	1.04	20:25:59
224.0%	280000	280.00000000029075	-2896702.5354888216	310.1796726477631	1.04	20:24:22
224.8%	281000	281.0000000002671	-2898009.9729888216	310.1796207878044	1.04	20:23:16
225.6%	282000	282.00000000024346	-2899485.4104888216	310.4775254180893	1.04	20:22:12
226.4%	283000	283.0000000002198	-2902525.2229888216	310.382368141272	1.04	20:21:10
227.2%	284000	284.00000000019617	-2904799.2229888216	310.3371488103653	1.04	20:20:03
228.0%	285000	285.0000000001725	-2905130.2229888216	309.40279514301125	1.04	20:18:28
228.8%	286000	286.0000000001489	-2903649.5979888216	309.24552820275045	1.04	20:17:26
229.6%	287000	287.0000000001252	-2903198.8479888216	310.8796284680178	1.04	20:16:24
230.4%	288000	288.0000000001016	-2904840.8479888216	310.31705976041764	1.04	20:14:58
231.2%	289000	289.00000000007793	-2903893.5354888216	310.0907666975309	1.04	20:13:02
232.0%	290000	290.0000000000543	-2903414.5979888216	309.73794984172616	1.04	20:11:06
232.8%	291000	291.00000000003064	-2909191.0354888216	309.7648561445505	1.03	20:09:03
233.6%	292000	292.000000000007	-2907886.9729888216	309.86886472380286	1.03	20:06:37
234.4%	293000	292.99999999998334	-2907349.2229888216	309.7464014445211	1.03	20:04:48
235.2%	294000	293.9999999999597	-2906037.9104888216	310.03173207521	1.03	20:03:23
236.0%	295000	294.99999999993605	-2909324.5354888216	311.08232496172616	1.03	20:01:22
236.8%	296000	295.9999999999124	-2906873.4104888216	310.2211976138294	1.03	19:59:52
237.6%	297000	296.99999999988876	-2905743.8479888216	310.6476945635883	1.02	19:58:03
238.4%	298000	297.9999999998651	-2908168.3479888216	310.2063552060403	1.02	19:56:18
239.2%	299000	298.99999999984146	-2909487.0354888216	310.94173770525174	1.02	19:54:34
240.0%	300000	299.9999999998178	-2910748.0979888216	309.5892505413137	1.02	19:52:43
240.8%	301000	300.99999999979417	-2913870.0354888216	309.886820315902	1.02	19:50:55
241.6%	302000	301.9999999997705	-2911975.3479888216	309.8175162223277	1.02	19:49:10
242.4%	303000	302.9999999997469	-2913842.0354888216	310.5482522578385	1.01	19:46:51
243.2%	304000	303.99999999972323	-2912105.3479888216	310.331508618468	1.01	19:45:49
244.0%	305000	304.9999999996996	-2910968.0354888216	311.0508497871971	1.01	19:44:21
244.8%	306000	305.99999999967594	-2913716.1604888216	310.0463394666616	1.02	19:43:27
245.6%	307000	306.9999999996523	-2917165.9104888216	309.6370089862758	1.02	19:42:26
246.4%	308000	307.99999999962864	-2915624.0979888216	310.6428527180369	1.02	19:41:49
247.2%	309000	308.999999999605	-2917659.7229888216	309.9768828815257	1.02	19:40:44
248.0%	310000	309.99999999958135	-2919962.5979888216	310.28026308095735	1.03	19:40:29
248.8%	311000	310.9999999995577	-2919367.1604888216	310.14480834492866	1.03	19:40:23
249.6%	312000	311.99999999953405	-2919704.2229888216	310.55981946966403	1.04	19:40:12
250.4%	313000	312.9999999995104	-2919577.3479888216	309.93967732907777	1.04	19:39:51
251.2%	314000	313.99999999948676	-2921980.2854888216	309.85564954015376	1.04	19:39:27
252.0%	315000	314.9999999994631	-2920477.1604888216	310.2832527962222	1.05	19:38:56
252.8%	316000	315.99999999943947	-2919304.8479888216	310.38252616942185	1.05	19:38:22
253.6%	317000	316.9999999994158	-2924433.1604888216	311.14735984754924	1.05	19:37:45
254.4%	318000	317.9999999993922	-2922536.7229888216	311.2359521081516	1.06	19:37:13
255.2%	319000	318.9999999993685	-2922436.0354888216	309.18710347516605	1.06	19:36:36
256.0%	320000	319.9999999993449	-2927614.2854888216	309.9633413987405	1.06	19:35:52
256.8%	321000	320.99999999932123	-2926631.3479888216	309.97383510850864	1.07	19:35:10
257.6%	322000	321.9999999992976	-2922451.4104888216	309.27267091513136	1.07	19:34:26
258.4%	323000	322.99999999927394	-2924295.0354888216	309.9965320004244	1.07	19:33:39
259.2%	324000	323.9999999992503	-2927681.0354888216	310.69551678289326	1.07	19:32:49
260.0%	325000	324.99999999922665	-2930019.1604888216	310.4898754546616	1.07	19:31:56
260.8%	326000	325.999999999203	-2926815.9104888216	309.46352284435864	1.08	19:31:02
261.6%	327000	326.99999999917935	-2927284.3479888216	309.3370044076429	1.08	19:30:06
262.4%	328000	327.9999999991557	-2926377.4104888216	310.41044273823957	1.08	19:29:09
263.2%	329000	328.99999999913206	-2928508.8479888216	310.6023776126167	1.08	19:28:10
264.0%	330000	329.9999999991084	-2931094.7229888216	310.36180168672456	1.08	19:27:09
264.8%	331000	330.99999999908476	-2926465.4729888216	310.1842337660783	1.08	19:26:07
265.6%	332000	331.9999999990611	-2926731.0979888216	309.8152556401624	1.08	19:25:02
266.4%	333000	332.99999999903747	-2926352.2854888216	309.3580873207005	1.08	19:23:56
267.2%	334000	333.9999999990138	-2926194.0354888216	309.91564642121637	1.09	19:22:50
268.0%	335000	334.9999999989902	-2928391.3479888216	310.7050088596677	1.09	19:21:42
268.8%	336000	335.99999999896653	-2928834.9104888216	309.8745851958129	1.09	19:20:31
269.6%	337000	336.9999999989429	-2928983.4729888216	310.5146537984	1.09	19:19:23
270.4%	338000	337.99999999891924	-2930522.4729888216	309.73623282732746	1.09	19:18:16
271.2%	339000	338.9999999988956	-2932640.7229888216	309.7060083733098	1.09	19:17:07
