Loading parameters
Using platform: HIP

Initial system energy
-2942615.5354888216 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
150.4%	376000	376.99999999805385	-2931862.6604888216	309.7129710852788	0	--
150.8%	377000	378.9999999980634	-2931240.0354888216	309.71863747401864	1.64	20:17:11
151.2%	378000	380.99999999807295	-2929457.0979888216	310.52718265089715	1.54	20:00:49
151.6%	379000	382.9999999980825	-2932622.2229888216	310.1466470338822	1.58	20:04:14
152.0%	380000	384.99999999809205	-2931848.3479888216	310.416417883542	1.59	20:04:11
152.4%	381000	386.9999999981016	-2928957.9104888216	309.19453875962927	1.61	20:05:37
152.8%	382000	388.99999999811115	-2929587.5979888216	310.4171428287349	1.63	20:06:19
153.2%	383000	390.9999999981207	-2929983.9729888216	310.76344715365326	1.63	20:05:03
153.6%	384000	392.99999999813025	-2933315.4104888216	309.05570063903406	1.62	20:02:25
154.0%	385000	394.9999999981398	-2930603.5979888216	310.20020702706694	1.62	20:00:16
154.4%	386000	396.99999999814935	-2930325.7854888216	310.0899260480559	1.65	20:02:03
154.8%	387000	398.9999999981589	-2931988.4104888216	310.02579221956853	1.68	20:04:45
155.2%	388000	400.99999999816845	-2932256.8479888216	310.76986049732506	1.73	20:10:28
155.6%	389000	402.999999998178	-2932168.2854888216	310.25679760473935	1.78	20:15:00
156.0%	390000	404.99999999818755	-2929958.0979888216	310.79047220218735	1.82	20:18:42
156.4%	391000	406.9999999981971	-2932885.3479888216	309.10897056183285	1.86	20:21:37
156.8%	392000	408.99999999820665	-2931828.1604888216	309.3444896273844	1.9	20:24:21
157.2%	393000	410.9999999982162	-2931897.9729888216	309.7541989442793	1.93	20:26:18
157.6%	394000	412.99999999822575	-2932890.4729888216	310.516619510443	1.96	20:27:58
158.0%	395000	414.9999999982353	-2929420.4729888216	309.7894112505226	1.98	20:29:14
158.4%	396000	416.99999999824485	-2928524.2854888216	310.46658370786764	2.01	20:30:33
158.8%	397000	418.9999999982544	-2932336.4729888216	310.7072122397421	2.03	20:31:26
159.2%	398000	420.99999999826395	-2933598.4729888216	309.7984846796423	2.05	20:32:21
159.6%	399000	422.9999999982735	-2932202.5979888216	310.98795296649365	2.07	20:32:49
160.0%	400000	424.99999999828304	-2932826.7229888216	310.54794500034586	2.09	20:33:12
160.4%	401000	426.9999999982926	-2930106.9729888216	309.85928559149306	2.1	20:33:18
160.8%	402000	428.99999999830214	-2932260.7229888216	310.77216713110823	2.12	20:33:26
161.2%	403000	430.9999999983117	-2931708.0354888216	310.8833428218096	2.13	20:33:29
161.6%	404000	432.99999999832124	-2932271.9729888216	309.16364017597994	2.15	20:33:26
162.0%	405000	434.9999999983308	-2932122.2229888216	309.5684321636841	2.16	20:33:25
162.4%	406000	436.99999999834034	-2932143.1604888216	310.59573622899734	2.17	20:32:58
162.8%	407000	438.9999999983499	-2936618.2854888216	311.6980833999493	2.18	20:32:45
163.2%	408000	440.99999999835944	-2929546.8479888216	310.9320459504632	2.19	20:32:12
163.6%	409000	442.999999998369	-2931742.6604888216	310.3492272869165	2.2	20:31:45
164.0%	410000	444.99999999837854	-2933507.0979888216	310.2096329047913	2.2	20:31:02
164.4%	411000	446.9999999983881	-2932562.9104888216	309.9321753388285	2.21	20:30:29
164.8%	412000	448.99999999839764	-2933807.0979888216	310.5548464750172	2.22	20:29:36
165.2%	413000	450.9999999984072	-2937422.8479888216	310.108793923868	2.22	20:28:56
165.6%	414000	452.99999999841674	-2939455.5979888216	310.29960351257773	2.23	20:28:15
166.0%	415000	454.9999999984263	-2936226.2229888216	310.9364719932347	2.24	20:27:32
166.4%	416000	456.99999999843584	-2937679.0979888216	310.12054767850015	2.24	20:27:03
166.8%	417000	458.9999999984454	-2932902.6604888216	310.04516972276303	2.25	20:26:17
167.2%	418000	460.99999999845494	-2932798.6604888216	310.4931586216985	2.25	20:25:12
167.6%	419000	462.9999999984645	-2933801.2854888216	309.83341234000864	1.76	19:24:12
168.0%	420000	464.99999999847404	-2937307.6604888216	309.9036361166549	1.75	19:19:49
