Loading parameters
Using platform: HIP

Initial system energy
-2956091.7229888216 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
350.4%	876000	1376.999999978244	-2952229.1604888216	309.7456781231461	0	--
350.8%	877000	1378.9999999781967	-2954171.8479888216	310.3740915617013	1.59	5:06:02
351.2%	878000	1380.9999999781494	-2953106.5354888216	310.3888777423198	1.55	4:36:24
351.6%	879000	1382.999999978102	-2953704.7229888216	309.49971926437433	1.55	4:32:59
352.0%	880000	1384.9999999780548	-2954444.2229888216	310.9103461259744	1.46	3:20:25
352.4%	881000	1386.9999999780075	-2953675.5979888216	309.83284834250287	1.41	2:29:02
352.8%	882000	1388.9999999779602	-2954512.7854888216	309.7291062877117	1.35	1:36:02
353.2%	883000	1390.999999977913	-2954260.4729888216	310.1993218011635	1.32	1:01:52
353.6%	884000	1392.9999999778656	-2952995.9104888216	310.7331854457526	1.3	34:09
354.0%	885000	1394.9999999778183	-2954955.8479888216	309.99141991339536	1.27	4:38
354.4%	886000	1396.999999977771	-2955360.5354888216	309.7815068345974	1.25	23:37:56
354.8%	887000	1398.9999999777237	-2956242.4729888216	310.2502245699364	1.26	23:40:26
355.2%	888000	1400.9999999776765	-2952096.1604888216	309.59248428903885	1.27	23:54:08
355.6%	889000	1402.9999999776292	-2951848.0979888216	309.5210666444535	1.29	15:07
356.0%	890000	1404.9999999775819	-2952929.1604888216	310.7854488661776	1.32	38:34
356.4%	891000	1406.9999999775346	-2953150.0979888216	309.91618266132144	1.33	54:17
356.8%	892000	1408.9999999774873	-2953114.5354888216	310.55399206354684	1.36	1:19:38
357.2%	893000	1410.99999997744	-2955448.2229888216	310.63730141708135	1.38	1:34:59
357.6%	894000	1412.9999999773927	-2953090.9104888216	309.7761816397928	1.41	2:00:15
358.0%	895000	1414.9999999773454	-2951894.8479888216	310.6818493549488	1.43	2:18:20
358.4%	896000	1416.999999977298	-2955845.5354888216	310.722507740063	1.44	2:30:33
358.8%	897000	1418.9999999772508	-2955315.2229888216	310.90377579637953	1.45	2:35:55
359.2%	898000	1420.9999999772035	-2955790.4729888216	310.11332152490803	1.46	2:40:53
359.6%	899000	1422.9999999771562	-2955150.0979888216	309.81478814412645	1.48	2:53:58
360.0%	900000	1424.999999977109	-2954353.2854888216	310.9060139025778	1.48	2:57:31
360.4%	901000	1426.9999999770616	-2950822.7229888216	310.38486389092753	1.5	3:06:49
